yas,maas,sehir,egitim,deneyim_yili,satin_aldi
25.0,32000.0,Ankara,Lisans,1.0,Evet
31.0,41000.0,Istanbul,Yuksek Lisans,4.0,Hayir
28.0,,Izmir,Lisans,2.0,Beklemede
45.0,67000.0,Ankara,Doktora,15.0,Hayir
,52000.0,Bursa,Lisans,7.0,Evet
36.0,48000.0,Istanbul,On Lisans,6.0,Beklemede
29.0,39000.0,Izmir,Lisans,,Evet
41.0,61000.0,Ankara,Yuksek Lisans,11.0,Hayir
33.0,45000.0,Bursa,Lisans,5.0,Beklemede
27.0,35000.0,Istanbul,,2.0,Hayir
38.0,56000.0,Izmir,Yuksek Lisans,9.0,Evet
30.0,43000.0,Ankara,Lisans,3.0,Beklemede
